name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false
RZE__to__KAT_cand_362,-0.12,6,11.3,2.7,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_596,-0.12,6,11.3,14.250000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_595,-0.12,6,11.3,14.250000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_343,-0.12,6,11.3,1.6500000000000004,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_416,-0.12,6,11.3,4.800000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_344,-0.12,6,11.3,1.6500000000000004,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_360,-0.12,6,11.3,2.7,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_378,-0.12,6,11.3,2.7000000000000006,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_415,-0.12,6,11.3,4.800000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_398,-0.12,6,11.3,3.75,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_399,-0.12,6,11.3,3.75,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_364,-0.12,6,11.3,2.7,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_414,-0.12,6,11.3,4.800000000000001,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_507,-0.12,6,11.3,10.05,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_506,-0.12,6,11.3,10.05,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_432,-0.12,6,11.3,5.850000000000001,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_417,-0.12,6,11.3,4.800000000000001,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_396,-0.12,6,11.3,3.75,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_342,-0.12,6,11.3,1.6500000000000004,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_397,-0.12,6,11.3,3.75,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_4935,4.92,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_1263,0.96,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3711,3.6,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3712,3.6,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_4017,3.84,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3099,3.120000000000001,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_2488,2.4000000000000004,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3405,3.4800000000000004,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_2182,2.0400000000000005,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3406,3.4800000000000004,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_4936,4.92,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_2181,2.0400000000000005,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_4630,4.5600000000000005,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
