name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,GDN_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2756,3.7240000000000015,6,11.3,1.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2740,3.7240000000000015,6,11.3,1.6149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1844,2.634400000000001,6,11.3,2.5,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2612,3.4516000000000013,6,11.3,2.5,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2628,3.4516000000000013,6,11.3,2.615,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1860,2.634400000000001,6,11.3,2.615,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2660,3.4516000000000013,6,11.3,3.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2644,3.4516000000000013,6,11.3,2.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1876,2.634400000000001,6,11.3,2.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2676,3.4516000000000013,6,11.3,3.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2692,3.7240000000000015,6,11.3,0.8649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1828,2.634400000000001,6,11.3,2.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2468,3.1792000000000016,6,11.3,3.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2580,3.4516000000000013,6,11.3,2.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2564,3.4516000000000013,6,11.3,1.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2516,3.4516000000000013,6,11.3,1.1149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2036,2.724000000000001,6,11.3,2.5,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2452,3.1792000000000016,6,11.3,2.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2436,3.1792000000000016,6,11.3,2.615,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2420,3.1792000000000016,6,11.3,2.5,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2356,3.1792000000000016,6,11.3,1.6149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2004,2.724000000000001,6,11.3,2.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2388,3.1792000000000016,6,11.3,2.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2404,3.1792000000000016,6,11.3,2.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2372,3.1792000000000016,6,11.3,1.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2068,2.724000000000001,6,11.3,2.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2052,2.724000000000001,6,11.3,2.615,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2020,2.724000000000001,6,11.3,2.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1956,2.724000000000001,6,11.3,1.3649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2532,3.4516000000000013,6,11.3,1.3649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2596,3.4516000000000013,6,11.3,2.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2548,3.4516000000000013,6,11.3,1.6149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2500,3.4516000000000013,6,11.3,0.8649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2484,3.1792000000000016,6,11.3,3.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1988,2.724000000000001,6,11.3,1.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1972,2.724000000000001,6,11.3,1.6149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1892,2.634400000000001,6,11.3,3.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1908,2.634400000000001,6,11.3,3.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1924,2.724000000000001,6,11.3,0.8649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_1940,2.724000000000001,6,11.3,1.1149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2340,3.1792000000000016,6,11.3,1.3649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2116,2.9068000000000014,6,11.3,0.8649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2084,2.724000000000001,6,11.3,3.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2260,2.9068000000000014,6,11.3,2.865,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2244,2.9068000000000014,6,11.3,2.615,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2212,2.9068000000000014,6,11.3,2.365,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2228,2.9068000000000014,6,11.3,2.5,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2148,2.9068000000000014,6,11.3,1.3649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2308,3.1792000000000016,6,11.3,0.8649999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2324,3.1792000000000016,6,11.3,1.1149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2852,3.7240000000000015,6,11.3,3.115,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__GDN_cand_2132,2.9068000000000014,6,11.3,1.1149999999999998,0.3,7.230000000000003,1.0,True,1.0,2.3600000000000003
