name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE_cand_7284_cand_17905,0.6666000000000002,6,11.3,2.1800000000000006,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_2803,0.5766000000000001,6,11.3,1.7800000000000002,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_11575,0.6216000000000002,6,11.3,2.420000000000001,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22902,0.6966000000000002,6,11.3,2.3000000000000007,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_10021,0.6216000000000002,6,11.3,1.8600000000000003,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_1692,0.5616000000000001,6,11.3,2.2200000000000006,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_2136,0.5616000000000001,6,11.3,2.380000000000001,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_7134,0.6066000000000001,6,11.3,1.66,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_3580,0.5766000000000001,6,11.3,2.0600000000000005,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_13907,0.6366000000000002,6,11.3,2.420000000000001,0.3,6.9503999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22680,0.6966000000000002,6,11.3,2.2200000000000006,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_9243,0.6066000000000001,6,11.3,2.420000000000001,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_10576,0.6216000000000002,6,11.3,2.0600000000000005,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_693,0.5616000000000001,6,11.3,1.8600000000000003,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_16017,0.6516000000000002,6,11.3,2.3400000000000007,0.3,7.112399999999997,1.0,True,1.0,0.015000000000000013
