name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE_cand_1894_cand_112,0.7332000000000001,6,11.3,2.88,0.3,20.09719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_113,0.7332000000000001,6,11.3,2.88,0.3,20.421199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_114,0.7332000000000001,6,11.3,2.88,0.3,20.74519999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_115,0.7332000000000001,6,11.3,2.88,0.3,21.069199999999988,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_116,0.7332000000000001,6,11.3,2.96,0.3,2.6012,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_117,0.7332000000000001,6,11.3,2.96,0.3,2.9252,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_118,0.7332000000000001,6,11.3,2.96,0.3,3.2491999999999996,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_119,0.7332000000000001,6,11.3,2.96,0.3,3.5731999999999995,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_120,0.7332000000000001,6,11.3,2.96,0.3,3.8971999999999993,0.5109406752,false,1.0000000000
RZE_cand_1894_cand_121,0.7332000000000001,6,11.3,2.96,0.3,4.2212,0.5534185513,false,1.0000000000
RZE_cand_1894_cand_122,0.7332000000000001,6,11.3,2.96,0.3,4.5451999999999995,0.5958964274,false,1.0000000000
RZE_cand_1894_cand_123,0.7332000000000001,6,11.3,2.96,0.3,4.869199999999999,0.6383743035,false,1.0000000000
RZE_cand_1894_cand_124,0.7332000000000001,6,11.3,2.96,0.3,5.193199999999999,0.6808521796,false,1.0000000000
RZE_cand_1894_cand_125,0.7332000000000001,6,11.3,2.96,0.3,5.517199999999999,0.7233300557,false,1.0000000000
RZE_cand_1894_cand_126,0.7332000000000001,6,11.3,2.96,0.3,5.841199999999999,0.7658079318,false,1.0000000000
RZE_cand_1894_cand_127,0.7332000000000001,6,11.3,2.96,0.3,6.165199999999999,0.8082858079,false,1.0000000000
RZE_cand_1894_cand_128,0.7332000000000001,6,11.3,2.96,0.3,6.4891999999999985,0.8507636840,false,1.0000000000
RZE_cand_1894_cand_129,0.7332000000000001,6,11.3,2.96,0.3,6.813199999999998,0.8932415601,false,1.0000000000
RZE_cand_1894_cand_130,0.7332000000000001,6,11.3,2.96,0.3,7.137199999999998,0.9357194363,false,1.0000000000
RZE_cand_1894_cand_131,0.7332000000000001,6,11.3,2.96,0.3,7.461199999999998,0.9781973124,false,1.0000000000
RZE_cand_1894_cand_132,0.7332000000000001,6,11.3,2.96,0.3,7.785199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_133,0.7332000000000001,6,11.3,2.96,0.3,8.109199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_134,0.7332000000000001,6,11.3,2.96,0.3,8.433199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_135,0.7332000000000001,6,11.3,2.96,0.3,8.757199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_136,0.7332000000000001,6,11.3,2.96,0.3,9.081199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_137,0.7332000000000001,6,11.3,2.96,0.3,9.405199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_138,0.7332000000000001,6,11.3,2.96,0.3,9.729199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_139,0.7332000000000001,6,11.3,2.96,0.3,10.053199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_140,0.7332000000000001,6,11.3,2.96,0.3,10.377199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_141,0.7332000000000001,6,11.3,2.96,0.3,10.701199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_142,0.7332000000000001,6,11.3,2.96,0.3,11.025199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_143,0.7332000000000001,6,11.3,2.96,0.3,11.349199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_144,0.7332000000000001,6,11.3,2.96,0.3,11.673199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_145,0.7332000000000001,6,11.3,2.96,0.3,11.997199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_146,0.7332000000000001,6,11.3,2.96,0.3,12.321199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_147,0.7332000000000001,6,11.3,2.96,0.3,12.645199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_148,0.7332000000000001,6,11.3,2.96,0.3,12.969199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_149,0.7332000000000001,6,11.3,2.96,0.3,13.293199999999995,1.0000000000,true,1.0000000000
