candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_170,0.3000000000,6.0000000000,11.3000000000,2.5800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9332326610,1.0000000000
RZE_resampled_171,0.3337774965,6.0000000000,11.3000000000,2.4448511202,0.3000000000,2.5026176866,1.0000000000,true,1.0000000000,0.9682010500,1.0000000000
RZE_resampled_172,0.3200000000,6.0000000000,11.3000000000,2.4800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9507525587,1.0000000000
RZE_resampled_174,0.3800000000,6.0000000000,11.3000000000,2.4200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_175,0.3340751882,6.0000000000,11.3000000000,2.4751636624,0.3000000000,2.4879544768,1.0000000000,true,1.0000000000,0.9766903683,1.0000000000
RZE_resampled_176,0.3200000000,6.0000000000,11.3000000000,2.5200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9550336363,1.0000000000
RZE_resampled_177,0.3500000000,6.0000000000,11.3000000000,2.5500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_178,0.3800000000,6.0000000000,11.3000000000,2.5800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_179,0.3797952382,6.0000000000,11.3000000000,2.5938209800,0.3000000000,2.5659112216,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_180,0.3200000000,6.0000000000,11.3000000000,2.5000000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.8962888216,1.0000000000
RZE_resampled_181,0.3500000000,6.0000000000,11.3000000000,2.5000000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.9376543210,1.0000000000
RZE_resampled_182,0.3800000000,6.0000000000,11.3000000000,2.5000000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.9883257794,1.0000000000
RZE_resampled_183,0.2447150553,6.0000000000,11.3000000000,2.5348960769,0.3000000000,2.8028419101,1.0000000000,true,1.0000000000,0.8062758014,1.0000000000
RZE_resampled_184,0.3200000000,6.0000000000,11.3000000000,2.5200000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.8988115073,1.0000000000
RZE_resampled_185,0.3500000000,6.0000000000,11.3000000000,2.5500000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.9434416366,1.0000000000
RZE_resampled_186,0.3800000000,6.0000000000,11.3000000000,2.5800000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.9961927268,1.0000000000
RZE_resampled_187,0.3367577698,6.0000000000,11.3000000000,2.5036800871,0.3000000000,2.6397206480,1.0000000000,true,1.0000000000,0.9365083153,1.0000000000
RZE_resampled_188,0.3200000000,6.0000000000,11.3000000000,2.4800000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.8937181664,1.0000000000
RZE_resampled_189,0.3500000000,6.0000000000,11.3000000000,2.4500000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.9315589354,1.0000000000
RZE_resampled_190,0.3800000000,6.0000000000,11.3000000000,2.4200000000,0.3000000000,2.7000000000,1.0000000000,true,1.0000000000,0.9851851852,1.0000000000
RZE_resampled_191,0.2279698925,6.0000000000,11.3000000000,2.5250281958,0.3000000000,2.6409997309,1.0000000000,true,1.0000000000,0.8239627774,1.0000000000
