candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_cand_84,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,6.7000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_85,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,6.9000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_86,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,7.1000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_87,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,7.3000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_88,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,7.5000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_89,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,7.7000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_90,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,7.9000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_91,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,8.1000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_92,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,8.3000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_93,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,8.5000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_94,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,2.5000000000,1.0000000000,true,0.9297343616,0.6672550750,1.0000000000
RZE_cand_95,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,2.7000000000,1.0000000000,true,0.8745298227,0.6445012788,1.0000000000
RZE_cand_96,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,2.9000000000,1.0000000000,true,0.8255135683,0.6232481451,1.0000000000
RZE_cand_97,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,3.1000000000,1.0000000000,true,0.7817002882,0.6033519553,1.0000000000
RZE_cand_98,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,3.3000000000,1.0000000000,true,0.7423033067,0.5846867749,1.0000000000
RZE_cand_99,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,3.5000000000,1.0000000000,true,0.7066869301,0.5671417854,1.0000000000
RZE_cand_100,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,3.7000000000,1.0000000000,true,0.6743318832,0.5506190823,1.0000000000
RZE_cand_101,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,3.9000000000,1.0000000000,true,0.6448098257,0.5350318471,1.0000000000
RZE_cand_102,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,4.1000000000,1.0000000000,true,0.6146341463,0.5121951220,1.0000000000
RZE_cand_103,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,4.3000000000,1.0000000000,true,0.5879699248,0.4899749373,1.0000000000
RZE_cand_104,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,4.5000000000,1.0000000000,true,0.5677852349,0.4731543624,1.0000000000
RZE_cand_105,0.0000000000,6.0000000000,11.3000000000,1.0000000000,0.3000000000,4.7000000000,1.0000000000,true,0.5595667870,0.4595959596,1.0000000000
