candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_resampled_935,0.4088566363,6.0,11.3,1.8685126673,0.3,2.8234975393,1.0,True,1.0,1.0,1.0,True
RZE_resampled_936,0.42,6.0,11.3,1.92,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_937,0.45,6.0,11.3,1.95,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_938,0.48,6.0,11.3,1.98,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_946,0.48,6.0,11.3,1.9,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_951,0.4488585797,6.0,11.3,1.9310972446,0.3,3.1603924944,1.0,True,1.0,0.9941834957,1.0,True
RZE_resampled_954,0.48,6.0,11.3,1.82,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_955,0.5287720617,6.0,11.3,1.8536461369,0.3,3.0865034244,0.9629338586,False,1.0,1.0,1.0,True
RZE_resampled_958,0.48,6.0,11.3,1.98,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1001,0.45,6.0,11.3,2.0,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1002,0.48,6.0,11.3,2.0,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_1007,0.4844696314,6.0,11.3,2.0134221213,0.3,2.4792158806,0.9288507903,False,1.0,1.0,1.0,True
RZE_resampled_1011,0.4969644015,6.0,11.3,2.0314036155,0.3,2.5052806086,0.9054974534,False,1.0,1.0,1.0,True
RZE_resampled_1016,0.42,6.0,11.3,2.02,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1017,0.45,6.0,11.3,2.05,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1018,0.48,6.0,11.3,2.08,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_1019,0.3855532186,6.0,11.3,2.0636011971,0.3,2.3996320745,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1021,0.45,6.0,11.3,2.0,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1022,0.48,6.0,11.3,2.0,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1027,0.4454385366,6.0,11.3,2.0014161472,0.3,2.6889724219,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1033,0.45,6.0,11.3,2.05,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1034,0.48,6.0,11.3,2.08,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1038,0.48,6.0,11.3,1.92,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1041,0.45,6.0,11.3,2.0,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1042,0.48,6.0,11.3,2.0,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_1043,0.4415588702,6.0,11.3,2.0134884687,0.3,2.9470581608,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1047,0.4446349804,6.0,11.3,1.9329174292,0.3,2.9132368645,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1051,0.4834967111,6.0,11.3,1.9506230793,0.3,2.9262705947,0.9880563117,False,1.0,1.0,1.0,True
RZE_resampled_1053,0.45,6.0,11.3,2.05,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1054,0.48,6.0,11.3,2.08,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_1056,0.42,6.0,11.3,1.98,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1058,0.48,6.0,11.3,1.92,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_1062,0.48,6.0,11.3,2.0,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1074,0.48,6.0,11.3,2.08,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1078,0.48,6.0,11.3,1.92,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1121,0.45,6.0,11.3,2.1,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1122,0.48,6.0,11.3,2.1,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_1123,0.4726302522,6.0,11.3,2.055117874,0.3,2.4449655138,0.9521184857,False,1.0,1.0,1.0,True
RZE_resampled_1127,0.4634014901,6.0,11.3,2.2035403942,0.3,2.4639820589,0.9710801748,False,1.0,1.0,1.0,True
RZE_resampled_1131,0.4421545802,6.0,11.3,2.0298925411,0.3,2.513123709,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1135,0.4641169833,6.0,11.3,2.0577037689,0.3,2.5080172577,0.9695831357,False,1.0,1.0,1.0,True
RZE_resampled_1136,0.42,6.0,11.3,2.08,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1138,0.48,6.0,11.3,2.02,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_1141,0.45,6.0,11.3,2.1,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1142,0.48,6.0,11.3,2.1,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1147,0.4850907233,6.0,11.3,2.0233535573,0.3,2.7778101207,0.9554290555,False,1.0,1.0,1.0,True
RZE_resampled_1152,0.42,6.0,11.3,2.12,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1153,0.45,6.0,11.3,2.15,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1154,0.48,6.0,11.3,2.18,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1155,0.4471945914,6.0,11.3,2.1040066219,0.3,2.7000595437,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1156,0.42,6.0,11.3,2.08,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1158,0.48,6.0,11.3,2.02,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1159,0.42448012,6.0,11.3,2.1257473082,0.3,2.7689893822,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1160,0.42,6.0,11.3,2.1,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1161,0.45,6.0,11.3,2.1,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1162,0.48,6.0,11.3,2.1,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_1172,0.42,6.0,11.3,2.12,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1173,0.45,6.0,11.3,2.15,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1174,0.48,6.0,11.3,2.18,0.3,2.9,0.99,False,1.0,1.0,1.0,True
